ID ,Category,Question,Answer
46,Snowboarding,"True or False:  Snowboarding was first included in the 1998 Winter Olympics in Nagano, Japan.",TRUE
47,Snowboarding,True or False:  Canadian Ross Rebagliati was the first athlete to win a gold medal in snowboarding.,TRUE
48,Snowboarding,True or False:  Shaun White of the United States is the only triple gold medalist in snowboarding.,TRUE
49,Biathlon,True or False:  Biathlon is an event that combines cross country skiing with shooting.,TRUE
50,Biathlon,"True or False:  Biathlon debuted at the 1960 Winter Olympics in Squaw Valley, California.",TRUE
51,Biathlon,"True or False:  Prior to the biathlon debut at the 1960 Winter Olympics, there was a military patrol event that was held at four Winter Olympic Games:  1924, 1928, 1936, and 1948.",TRUE
52,Biathlon,True or False:  Germany is the country that has won the most biathlon event medals.,TRUE
53,Cross-CountrySkiing,True or False:  Cross-country skiiers move between 20 and 28 mph.,TRUE
54,Cross-CountrySkiing,"True or False:  Cross-country skiing has been an Olympic sport ever since the first Winter Olympics were held in Chamonix, France in 1924.",TRUE
55,Cross-CountrySkiing,"True or False:  Five cross-country ski disciplines will be held during the Beijing Winter Olympics:  Skiathlon, Sprint, Individual, Relay, Mass Start.",TRUE
56,Cross-CountrySkiing,"True or False:  At the Beijing Winter Olympic Games, Jessie Diggins became the first U.S. woman to win an Olympic medal in an individual cross-country skiing event.",TRUE
57,Ski Jumping,True or False:  Ski jumping suits caused disqualifications at the Olympics this year.,TRUE
58,Ski Jumping,True or False:  Ski jumping has been included in the program of every Winter Lympic Games.,TRUE
59,Ski jumping,"True or False:  The International Olympic Committee officially accepted women's ski jumping into the official Olympic program for the 2014 Winter Olympics in Sochi, Russia.",TRUE
60,Ski Jumping,True or False:  Norway is the country that has won the most medals for ski jumping in the history of the Winter Olympic Games.,TRUE
61,Nordic,True or False:  Nordic combined events at the Olympics combines ski jumping and cross-country skiing.,TRUE
62,Nordic,True or False:  Ice dancing resembles ballet on ice.,FALSE
63,Nordic,True or False:  World Skating Federation (WSF) is the international governing body for competitive ice skating disciplines.,FALSE
64,Nordic,True or False:  Olympic-sized ice rinks have dimensions of 30m x 60m.,TRUE
